datetime,ask,bid
10.01.2021 00:45:16.751,14737.311000000002,14733.899
10.01.2021 00:45:17.201,14737.373,14734.108999999999
10.01.2021 00:45:17.251,14737.491000000002,14734.038999999999
10.01.2021 00:45:17.362,14737.351,14733.909
10.01.2021 00:45:17.412,14737.301000000001,14733.839
10.01.2021 00:45:17.520,14737.383,14734.229
10.01.2021 00:45:17.571,14737.701000000001,14734.268999999998
10.01.2021 00:45:17.843,14737.601,14734.277
10.01.2021 00:45:17.893,14737.681,14734.149
10.01.2021 00:45:18.003,14737.603000000001,14734.288999999999
10.01.2021 00:45:18.054,14737.701000000001,14734.229
10.01.2021 00:45:18.474,14737.691,14734.169
10.01.2021 00:45:21.309,14737.871000000001,14734.409
10.01.2021 00:45:21.468,14737.661,14734.377
10.01.2021 00:45:21.519,14737.671,14734.128999999999
10.01.2021 00:45:21.629,14737.551000000001,14734.146999999999
10.01.2021 00:45:21.679,14737.541000000001,14734.059
10.01.2021 00:45:21.792,14737.311000000002,14734.067
10.01.2021 00:45:21.842,14737.291000000001,14733.878999999999
10.01.2021 00:45:22.922,14737.231000000002,14733.907
10.01.2021 00:45:22.972,14737.241000000002,14733.739
10.01.2021 00:45:24.463,14737.273000000001,14734.118999999999
10.01.2021 00:45:24.514,14737.611,14734.149
10.01.2021 00:45:24.987,14737.351,14733.819
10.01.2021 00:45:25.037,14737.341,14733.909
10.01.2021 00:45:26.262,14737.231000000002,14733.989
10.01.2021 00:45:26.313,14737.231000000002,14733.809
10.01.2021 00:45:26.744,14737.161,14733.889
10.01.2021 00:45:26.794,14737.101,14733.628999999999
10.01.2021 00:45:29.898,14736.811000000002,14733.657
10.01.2021 00:45:29.948,14737.081,14733.528999999999
10.01.2021 00:45:30.380,14737.053,14733.909
10.01.2021 00:45:30.457,14737.331,14733.878999999999
10.01.2021 00:45:33.340,14737.333,14734.108999999999
10.01.2021 00:45:33.391,14737.551000000001,14734.028999999999
10.01.2021 00:45:34.648,14737.861,14734.368999999999
10.01.2021 00:45:35.096,14737.853000000001,14734.778999999999
10.01.2021 00:45:35.146,14738.201000000001,14734.788999999999
10.01.2021 00:45:35.255,14738.193000000001,14734.819
10.01.2021 00:45:35.305,14738.341,14734.909
10.01.2021 00:45:35.416,14738.313,14735.038999999999
10.01.2021 00:45:35.466,14738.571000000002,14735.079
10.01.2021 00:45:37.656,14738.251,14734.989
10.01.2021 00:45:37.706,14738.261,14734.788999999999
10.01.2021 00:45:39.371,14738.671,14735.108999999999
10.01.2021 00:45:39.851,14738.683,14735.579
10.01.2021 00:45:39.902,14739.031,14735.579
10.01.2021 00:45:40.014,14738.821000000002,14735.527
10.01.2021 00:45:40.065,14738.801000000001,14735.358999999999
10.01.2021 00:45:40.173,14738.591,14735.118999999999
10.01.2021 00:45:40.590,14738.701000000001,14735.258999999998
10.01.2021 00:45:41.258,14738.753,14735.309
10.01.2021 00:45:41.308,14738.821000000002,14735.368999999999
10.01.2021 00:45:42.170,14738.823,14735.678999999998
10.01.2021 00:45:42.220,14739.161,14735.628999999999
10.01.2021 00:45:42.329,14739.143,14735.749
10.01.2021 00:45:42.379,14739.181,14735.758999999998
10.01.2021 00:45:44.881,14739.141000000001,14735.669
10.01.2021 00:45:45.622,14738.913,14735.868999999999
10.01.2021 00:45:45.672,14739.361,14735.878999999999
10.01.2021 00:45:46.281,14739.091,14735.857
10.01.2021 00:45:46.332,14739.161,14735.608999999999
